INDICATOR_ID,INDICATOR_LABEL_EN
700146,"Number of persons employed in cultural occupations and working in cultural industries"
700147,"Number of persons employed in cultural occupations and working in non cultural industries"
700148,"Number of persons employed in cultural occupations"
700149,"Number of persons employed in non cultural occupations and working in cultural industries"
700150,"Number of persons employed in non cultural occupations and working in non cultural industries"
700151,"Number of persons employed in non cultural occupations"
700152,"Number of persons employed in cultural industries"
700153,"Number of persons employed in non cultural industries"
700155,"Number of persons employed in cultural occupations males"
700156,"Number of persons employed in non cultural occupations males"
700158,"Number of persons employed in cultural industries males"
700159,"Number of persons employed in non-cultural industries males"
700161,"Number of persons employed in cultural occupations females"
700162,"Number of persons employed in non cultural occupations females"
700164,"Number of persons employed in cultural industries females"
700165,"Number of persons employed in non-cultural industries females"
700179,"Number of persons 15-24 years old employed in cultural occupations"
700180,"Number of persons 15-24 years old employed in non cultural occupations"
700182,"Number of persons 15-24 years old employed in cultural industries"
700183,"Number of persons 15 to 24 years old employed in non cultural industries"
700185,"Number of persons 25-64 years old employed in cultural occupations"
700186,"Number of persons 25-64 years old employed in non cultural occupations"
